station ID = gr (Granada)
system = KASCAL
signal = 355, parallel, analog, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
0.0150,8.8033e-07,1.4178e+02
0.0225,8.2279e-06,1.3720e+02
0.0300,8.2134e-06,8.3613e+01
0.0375,8.1989e-06,5.8631e+00
0.0450,8.1844e-06,-4.8697e+01
0.0525,8.1699e-06,1.3922e+02
0.0600,8.1555e-06,6.9931e+02
0.0675,8.1411e-06,1.0977e+03
0.0750,8.1267e-06,1.3140e+03
0.0825,8.1124e-06,1.8501e+03
0.0900,8.0980e-06,2.0664e+03
0.0975,8.0838e-06,3.5182e+03
0.1050,8.0695e-06,1.5380e+04
0.1125,8.0553e-06,5.0013e+04
0.1200,8.0411e-06,1.1360e+05
0.1275,8.0270e-06,2.1065e+05
0.1350,8.0128e-06,3.3320e+05
0.1425,7.9987e-06,4.6947e+05
0.1500,7.9847e-06,6.0843e+05
0.1575,7.9706e-06,7.3960e+05
0.1650,7.9566e-06,8.6525e+05
0.1725,7.9426e-06,9.9275e+05
0.1800,7.9287e-06,1.1169e+06
0.1875,7.9148e-06,1.2323e+06
0.1950,7.9009e-06,1.3294e+06
0.2025,7.8870e-06,1.3958e+06
0.2100,7.8732e-06,1.4310e+06
0.2175,7.8594e-06,1.4426e+06
0.2250,7.8456e-06,1.4319e+06
0.2325,7.8319e-06,1.4044e+06
0.2400,7.8181e-06,1.3754e+06
0.2475,7.8045e-06,1.3490e+06
0.2550,7.7908e-06,1.3213e+06
0.2625,7.7772e-06,1.2965e+06
0.2700,7.7636e-06,1.2722e+06
0.2775,7.7500e-06,1.2495e+06
0.2850,7.7364e-06,1.2273e+06
0.2925,7.7229e-06,1.2039e+06
0.3000,7.7094e-06,1.1824e+06
0.3075,7.6960e-06,1.1599e+06
0.3150,7.6826e-06,1.1409e+06
0.3225,7.6691e-06,1.1183e+06
0.3300,7.6558e-06,1.0991e+06
0.3375,7.6424e-06,1.0795e+06
0.3450,7.6291e-06,1.0603e+06
0.3525,7.6158e-06,1.0449e+06
0.3600,7.6026e-06,1.0278e+06
0.3675,7.5893e-06,1.0106e+06
0.3750,7.5761e-06,9.9295e+05
0.3825,7.5629e-06,9.7810e+05
0.3900,7.5498e-06,9.6702e+05
0.3975,7.5367e-06,9.5344e+05
0.4050,7.5236e-06,9.3840e+05
0.4125,7.5105e-06,9.2573e+05
0.4200,7.4974e-06,9.1348e+05
0.4275,7.4844e-06,8.9814e+05
0.4350,7.4714e-06,8.8567e+05
0.4425,7.4585e-06,8.7157e+05
0.4500,7.4455e-06,8.6100e+05
0.4575,7.4326e-06,8.5172e+05
0.4650,7.4198e-06,8.4149e+05
0.4725,7.4069e-06,8.3124e+05
0.4800,7.3941e-06,8.2257e+05
0.4875,7.3813e-06,8.1699e+05
0.4950,7.3685e-06,8.1057e+05
0.5025,7.3558e-06,8.0589e+05
0.5100,7.3430e-06,7.9784e+05
0.5175,7.3303e-06,7.9151e+05
0.5250,7.3177e-06,7.8662e+05
0.5325,7.3050e-06,7.7933e+05
0.5400,7.2924e-06,7.7608e+05
0.5475,7.2798e-06,7.7270e+05
0.5550,7.2673e-06,7.6693e+05
0.5625,7.2547e-06,7.6254e+05
0.5700,7.2422e-06,7.5826e+05
0.5775,7.2297e-06,7.5216e+05
0.5850,7.2173e-06,7.4835e+05
0.5925,7.2048e-06,7.4733e+05
0.6000,7.1924e-06,7.4310e+05
0.6075,7.1801e-06,7.3861e+05
