station ID = gr (Granada)
system = KASCAL
signal = 355, perpendicular, analog, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
0.0150,8.8033e-07,2.3359e+02
0.0225,8.2279e-06,2.2514e+02
0.0300,8.2134e-06,1.3157e+02
0.0375,8.1989e-06,-2.1103e+00
0.0450,8.1844e-06,-4.6137e+00
0.0525,8.1699e-06,4.1823e+02
0.0600,8.1555e-06,2.1007e+03
0.0675,8.1411e-06,8.7186e+02
0.0750,8.1267e-06,8.9570e+02
0.0825,8.1124e-06,1.9331e+03
0.0900,8.0980e-06,2.2972e+03
0.0975,8.0838e-06,2.8746e+03
0.1050,8.0695e-06,1.1163e+04
0.1125,8.0553e-06,4.4549e+04
0.1200,8.0411e-06,1.0961e+05
0.1275,8.0270e-06,2.0620e+05
0.1350,8.0128e-06,3.2799e+05
0.1425,7.9987e-06,4.5675e+05
0.1500,7.9847e-06,5.7792e+05
0.1575,7.9706e-06,6.8776e+05
0.1650,7.9566e-06,7.7983e+05
0.1725,7.9426e-06,8.6392e+05
0.1800,7.9287e-06,9.4814e+05
0.1875,7.9148e-06,1.0266e+06
0.1950,7.9009e-06,1.0841e+06
0.2025,7.8870e-06,1.1153e+06
0.2100,7.8732e-06,1.1302e+06
0.2175,7.8594e-06,1.1297e+06
0.2250,7.8456e-06,1.1178e+06
0.2325,7.8319e-06,1.0946e+06
0.2400,7.8181e-06,1.0668e+06
0.2475,7.8045e-06,1.0452e+06
0.2550,7.7908e-06,1.0282e+06
0.2625,7.7772e-06,1.0084e+06
0.2700,7.7636e-06,9.8408e+05
0.2775,7.7500e-06,9.6572e+05
0.2850,7.7364e-06,9.5350e+05
0.2925,7.7229e-06,9.4152e+05
0.3000,7.7094e-06,9.2750e+05
0.3075,7.6960e-06,9.1287e+05
0.3150,7.6826e-06,9.0554e+05
0.3225,7.6691e-06,9.0007e+05
0.3300,7.6558e-06,8.9458e+05
0.3375,7.6424e-06,8.8302e+05
0.3450,7.6291e-06,8.7415e+05
0.3525,7.6158e-06,8.7587e+05
0.3600,7.6026e-06,8.7519e+05
0.3675,7.5893e-06,8.6929e+05
0.3750,7.5761e-06,8.6731e+05
0.3825,7.5629e-06,8.6939e+05
0.3900,7.5498e-06,8.7246e+05
0.3975,7.5367e-06,8.7611e+05
0.4050,7.5236e-06,8.7488e+05
0.4125,7.5105e-06,8.7386e+05
0.4200,7.4974e-06,8.7775e+05
0.4275,7.4844e-06,8.7922e+05
0.4350,7.4714e-06,8.7370e+05
0.4425,7.4585e-06,8.6293e+05
0.4500,7.4455e-06,8.5393e+05
0.4575,7.4326e-06,8.5205e+05
0.4650,7.4198e-06,8.4546e+05
0.4725,7.4069e-06,8.3548e+05
0.4800,7.3941e-06,8.2512e+05
0.4875,7.3813e-06,8.2163e+05
0.4950,7.3685e-06,8.1718e+05
0.5025,7.3558e-06,8.0750e+05
0.5100,7.3430e-06,7.9768e+05
0.5175,7.3303e-06,7.9257e+05
0.5250,7.3177e-06,7.9250e+05
0.5325,7.3050e-06,7.8868e+05
0.5400,7.2924e-06,7.8260e+05
0.5475,7.2798e-06,7.7484e+05
0.5550,7.2673e-06,7.7365e+05
0.5625,7.2547e-06,7.7287e+05
0.5700,7.2422e-06,7.6721e+05
0.5775,7.2297e-06,7.6179e+05
0.5850,7.2173e-06,7.5649e+05
0.5925,7.2048e-06,7.5541e+05
0.6000,7.1924e-06,7.5572e+05
0.6075,7.1801e-06,7.4822e+05
0.6150,7.1677e-06,7.4149e+05
0.6225,7.1554e-06,7.4093e+05
0.6300,7.1431e-06,7.3861e+05
0.6375,7.1308e-06,7.3133e+05
0.6450,7.1185e-06,7.2371e+05
0.6525,7.1063e-06,7.1797e+05
0.6600,7.0941e-06,7.1418e+05
0.6675,7.0819e-06,7.0969e+05
0.6750,7.0698e-06,6.9952e+05
0.6825,7.0576e-06,6.9320e+05
0.6900,7.0455e-06,6.8881e+05
0.6975,7.0335e-06,6.8439e+05
0.7050,7.0214e-06,6.8016e+05
0.7125,7.0094e-06,6.7351e+05
0.7200,6.9974e-06,6.6176e+05
0.7275,6.9854e-06,6.5030e+05
0.7350,6.9734e-06,6.4113e+05
0.7425,6.9615e-06,6.3009e+05
0.7500,6.9496e-06,6.2001e+05
0.7575,6.9377e-06,6.1010e+05
0.7650,6.9259e-06,6.0372e+05
0.7725,6.9140e-06,5.9602e+05
0.7800,6.9022e-06,5.8562e+05
