station ID = GR (Granada)
system = KASCAL
signal = 355, photoncounting
date of the calibration, time = 21.08.2020, 00UTC
date of the Rayleigh measurement = 21.08.2020
GR, GT, HR, HT, K, laser polarisation rotation, system rotation y = 1.000, 1.000, 0.958, -0.958, 1.000, 0.000, -1
range,ITplus45,IRplus45,ITminus45,IRminus45,ITRayleigh,IRRayleigh
7.5000,9.8932e+00,7.7274e+00,9.9956e+00,7.9991e+00,2.8939e+01,2.8867e+01
15.0000,9.3635e+00,7.1996e+00,9.5277e+00,7.6260e+00,3.0343e+01,3.2072e+01
22.5000,9.0002e+00,7.0593e+00,9.3150e+00,7.3372e+00,2.9091e+01,3.0656e+01
30.0000,9.3640e+00,6.7827e+00,9.3545e+00,7.5598e+00,2.7588e+01,2.8716e+01
37.5000,1.3154e+01,8.8250e+00,1.3264e+01,9.0517e+00,4.5645e+01,4.3334e+01
45.0000,3.7376e+01,2.2387e+01,3.8404e+01,2.2864e+01,1.1908e+02,1.0902e+02
52.5000,8.8727e+01,5.8220e+01,9.1665e+01,6.0394e+01,2.0154e+02,1.8913e+02
60.0000,1.4970e+02,1.0850e+02,1.5218e+02,1.1541e+02,2.4037e+02,2.3174e+02
67.5000,1.9487e+02,1.5644e+02,1.9833e+02,1.6653e+02,2.5634e+02,2.5198e+02
75.0000,2.1936e+02,1.8949e+02,2.2258e+02,2.0067e+02,2.6283e+02,2.5997e+02
82.5000,2.3187e+02,2.0949e+02,2.3469e+02,2.2040e+02,2.6575e+02,2.6647e+02
90.0000,2.4038e+02,2.2004e+02,2.4278e+02,2.3086e+02,2.6840e+02,2.6638e+02
97.5000,2.4355e+02,2.2693e+02,2.4652e+02,2.3776e+02,2.6998e+02,2.6808e+02
105.0000,2.4633e+02,2.3184e+02,2.4885e+02,2.3932e+02,2.6957e+02,2.6900e+02
112.5000,2.4656e+02,2.3301e+02,2.5047e+02,2.4336e+02,2.6924e+02,2.7039e+02
120.0000,2.4773e+02,2.3557e+02,2.5089e+02,2.4368e+02,2.6949e+02,2.7091e+02
127.5000,2.4722e+02,2.3637e+02,2.5071e+02,2.4537e+02,2.6883e+02,2.7177e+02
135.0000,2.4921e+02,2.3576e+02,2.5096e+02,2.4500e+02,2.7051e+02,2.7018e+02
142.5000,2.4832e+02,2.3625e+02,2.4951e+02,2.4774e+02,2.6904e+02,2.7126e+02
150.0000,2.4712e+02,2.3563e+02,2.5023e+02,2.4378e+02,2.6844e+02,2.6824e+02
157.5000,2.4524e+02,2.3387e+02,2.4686e+02,2.4440e+02,2.6754e+02,2.6640e+02
165.0000,2.4393e+02,2.3256e+02,2.4687e+02,2.4079e+02,2.6436e+02,2.6616e+02
172.5000,2.4075e+02,2.2846e+02,2.4342e+02,2.3954e+02,2.6470e+02,2.6418e+02
180.0000,2.3765e+02,2.2503e+02,2.4098e+02,2.3555e+02,2.6313e+02,2.6192e+02
187.5000,2.3529e+02,2.2080e+02,2.3772e+02,2.3142e+02,2.6148e+02,2.5981e+02
195.0000,2.3231e+02,2.1636e+02,2.3398e+02,2.2830e+02,2.6118e+02,2.5875e+02
202.5000,2.2902e+02,2.1421e+02,2.3161e+02,2.2442e+02,2.5790e+02,2.5653e+02
210.0000,2.2551e+02,2.0852e+02,2.2852e+02,2.1966e+02,2.5695e+02,2.5358e+02
