station ID = gr (Granada)
system = KASCAL
signal = 355, parallel, photoncounting, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
0.0150,8.8033e-07,4.6330e+03
0.0225,8.2279e-06,9.8946e+03
0.0300,8.2134e-06,1.9107e+04
0.0375,8.1989e-06,7.4778e+04
0.0450,8.1844e-06,3.0107e+05
0.0525,8.1699e-06,6.1241e+05
0.0600,8.1555e-06,9.0117e+05
0.0675,8.1411e-06,1.1984e+06
0.0750,8.1267e-06,1.5156e+06
0.0825,8.1124e-06,1.8588e+06
0.0900,8.0980e-06,2.2254e+06
0.0975,8.0838e-06,2.6131e+06
0.1050,8.0695e-06,3.0445e+06
0.1125,8.0553e-06,3.4992e+06
0.1200,8.0411e-06,3.9906e+06
0.1275,8.0270e-06,4.5013e+06
0.1350,8.0128e-06,5.0258e+06
0.1425,7.9987e-06,5.5887e+06
0.1500,7.9847e-06,6.1849e+06
0.1575,7.9706e-06,6.7724e+06
0.1650,7.9566e-06,7.3844e+06
0.1725,7.9426e-06,8.0637e+06
0.1800,7.9287e-06,8.7004e+06
0.1875,7.9148e-06,9.3937e+06
0.1950,7.9009e-06,1.0111e+07
0.2025,7.8870e-06,1.0803e+07
0.2100,7.8732e-06,1.1547e+07
0.2175,7.8594e-06,1.2280e+07
0.2250,7.8456e-06,1.3017e+07
0.2325,7.8319e-06,1.3858e+07
0.2400,7.8181e-06,1.4643e+07
0.2475,7.8045e-06,1.5445e+07
0.2550,7.7908e-06,1.6227e+07
0.2625,7.7772e-06,1.7039e+07
0.2700,7.7636e-06,1.7891e+07
0.2775,7.7500e-06,1.8644e+07
0.2850,7.7364e-06,1.9467e+07
0.2925,7.7229e-06,2.0328e+07
0.3000,7.7094e-06,2.1193e+07
0.3075,7.6960e-06,2.1952e+07
0.3150,7.6826e-06,2.2753e+07
0.3225,7.6691e-06,2.3556e+07
0.3300,7.6558e-06,2.4405e+07
0.3375,7.6424e-06,2.5176e+07
0.3450,7.6291e-06,2.5965e+07
0.3525,7.6158e-06,2.6667e+07
0.3600,7.6026e-06,2.7389e+07
