station ID = gr (Granada)
system = VELETA
signal = 355, parallel, analog, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
7.5000,1.2436e+00,1.0663e+00,1.1598e+00,1.0897e+00,355xpa
15.0000,4.5474e+00,4.8219e+00,4.8681e+00,4.5038e+00,355xpa
22.5000,9.6311e+00,9.8027e+00,1.1056e+01,1.1575e+01,355xpa
30.0000,1.9897e+01,1.8129e+01,1.9167e+01,1.8168e+01,355xpa
37.5000,5.5108e+01,6.1685e+01,6.3165e+01,6.0031e+01,355xpa
45.0000,2.3564e+01,1.5879e+01,2.4735e+01,1.8712e+01,355xpa
52.5000,2.2963e+02,1.7115e+02,9.8462e+02,3.4762e+02,355xpa
60.0000,1.3808e+03,5.4013e+02,9.7609e+03,1.9257e+03,355xpa
67.5000,5.2240e+03,2.3442e+03,1.8501e+04,6.5909e+03,355xpa
75.0000,7.1955e+03,4.7782e+03,1.7553e+04,9.0067e+03,355xpa
82.5000,7.1889e+03,5.0728e+03,1.8643e+04,9.3043e+03,355xpa
90.0000,8.3368e+03,5.9457e+03,1.9220e+04,1.0555e+04,355xpa
97.5000,7.7901e+03,5.1626e+03,1.9825e+04,1.0560e+04,355xpa
105.0000,9.4561e+03,6.7089e+03,2.2039e+04,1.2747e+04,355xpa
112.5000,1.0711e+04,7.5012e+03,2.5389e+04,1.4246e+04,355xpa
120.0000,1.1215e+04,7.4172e+03,3.1107e+04,1.5271e+04,355xpa
127.5000,1.4886e+04,1.0102e+04,6.2541e+04,1.9082e+04,355xpa
135.0000,1.6360e+04,1.0728e+04,1.7524e+05,2.1799e+04,355xpa
142.5000,2.1852e+04,1.2415e+04,3.8595e+05,2.8308e+04,355xpa
150.0000,4.5930e+04,1.6674e+04,6.4518e+05,4.5501e+04,355xpa
157.5000,1.0553e+05,2.4237e+04,8.8028e+05,1.0724e+05,355xpa
165.0000,2.3191e+05,6.5025e+04,1.0481e+06,2.4581e+05,355xpa
172.5000,4.5240e+05,1.7926e+05,1.1606e+06,4.6387e+05,355xpa
180.0000,6.4781e+05,3.5730e+05,1.2364e+06,6.8990e+05,355xpa
187.5000,7.7789e+05,5.5546e+05,1.2961e+06,8.9058e+05,355xpa
195.0000,8.7795e+05,7.1500e+05,1.3411e+06,1.0469e+06,355xpa
202.5000,9.6634e+05,8.3391e+05,1.3833e+06,1.1548e+06,355xpa
210.0000,1.0399e+06,9.3707e+05,1.4077e+06,1.2422e+06,355xpa
217.5000,1.1073e+06,1.0245e+06,1.4112e+06,1.3231e+06,355xpa
225.0000,1.1629e+06,1.1016e+06,1.4075e+06,1.3875e+06,355xpa
232.5000,1.2048e+06,1.1533e+06,1.3972e+06,1.4242e+06,355xpa
240.0000,1.2425e+06,1.1788e+06,1.3804e+06,1.4500e+06,355xpa
247.5000,1.2508e+06,1.1821e+06,1.3545e+06,1.4619e+06,355xpa
255.0000,1.2533e+06,1.1782e+06,1.3284e+06,1.4581e+06,355xpa
262.5000,1.2424e+06,1.1560e+06,1.3020e+06,1.4392e+06,355xpa
270.0000,1.2246e+06,1.1409e+06,1.2750e+06,1.4240e+06,355xpa
277.5000,1.2157e+06,1.1336e+06,1.2542e+06,1.4087e+06,355xpa
285.0000,1.2003e+06,1.1071e+06,1.2335e+06,1.3880e+06,355xpa
292.5000,1.1852e+06,1.0971e+06,1.2162e+06,1.3743e+06,355xpa
300.0000,1.1766e+06,1.0785e+06,1.2051e+06,1.3490e+06,355xpa
307.5000,1.1578e+06,1.0609e+06,1.1807e+06,1.3288e+06,355xpa
315.0000,1.1514e+06,1.0499e+06,1.1596e+06,1.3214e+06,355xpa
322.5000,1.1368e+06,1.0394e+06,1.1534e+06,1.3000e+06,355xpa
330.0000,1.1153e+06,1.0306e+06,1.1376e+06,1.2842e+06,355xpa
337.5000,1.1106e+06,1.0183e+06,1.1198e+06,1.2725e+06,355xpa
345.0000,1.0932e+06,1.0144e+06,1.1165e+06,1.2653e+06,355xpa
352.5000,1.0807e+06,9.9714e+05,1.0901e+06,1.2530e+06,355xpa
360.0000,1.0766e+06,9.9597e+05,1.0806e+06,1.2381e+06,355xpa
367.5000,1.0707e+06,9.8242e+05,1.0767e+06,1.2296e+06,355xpa
375.0000,1.0550e+06,9.7098e+05,1.0694e+06,1.2173e+06,355xpa
382.5000,1.0447e+06,9.5806e+05,1.0626e+06,1.2042e+06,355xpa
390.0000,1.0420e+06,9.5268e+05,1.0493e+06,1.1957e+06,355xpa
397.5000,1.0367e+06,9.5242e+05,1.0401e+06,1.1939e+06,355xpa
405.0000,1.0200e+06,9.4095e+05,1.0307e+06,1.1818e+06,355xpa
412.5000,1.0180e+06,9.3001e+05,1.0295e+06,1.1789e+06,355xpa
420.0000,1.0064e+06,9.2379e+05,1.0121e+06,1.1645e+06,355xpa
427.5000,1.0054e+06,9.2061e+05,9.9966e+05,1.1550e+06,355xpa
435.0000,9.9367e+05,9.1451e+05,1.0049e+06,1.1437e+06,355xpa
442.5000,9.9262e+05,9.0571e+05,9.9715e+05,1.1433e+06,355xpa
450.0000,9.8618e+05,9.0697e+05,9.8917e+05,1.1478e+06,355xpa
457.5000,9.7537e+05,8.9880e+05,9.7209e+05,1.1294e+06,355xpa
465.0000,9.7308e+05,8.9127e+05,9.7211e+05,1.1217e+06,355xpa
472.5000,9.6645e+05,8.8740e+05,9.6663e+05,1.1174e+06,355xpa
480.0000,9.6412e+05,8.8604e+05,9.6593e+05,1.0994e+06,355xpa
487.5000,9.5121e+05,8.7602e+05,9.4879e+05,1.0963e+06,355xpa
495.0000,9.4979e+05,8.6577e+05,9.4781e+05,1.0966e+06,355xpa
502.5000,9.5237e+05,8.6195e+05,9.4599e+05,1.0885e+06,355xpa
510.0000,9.4304e+05,8.5871e+05,9.4429e+05,1.0809e+06,355xpa
517.5000,9.3114e+05,8.5575e+05,9.4419e+05,1.0801e+06,355xpa
525.0000,9.3353e+05,8.5446e+05,9.2697e+05,1.0703e+06,355xpa
532.5000,9.2944e+05,8.4038e+05,9.2393e+05,1.0676e+06,355xpa
