station ID = gr (Granada)
system = VELETA
signal = 355, parallel, photoncounting, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
7.5000,3.6314e+03,2.2060e+03,8.7880e+03,4.5527e+03,355xpp
15.0000,1.3173e+04,9.4542e+03,3.0477e+04,1.7001e+04,355xpp
22.5000,2.6342e+04,1.9401e+04,6.0022e+04,3.4565e+04,355xpp
30.0000,4.2943e+04,3.1211e+04,9.7365e+04,5.6198e+04,355xpp
37.5000,6.1383e+04,4.5054e+04,1.4040e+05,8.4182e+04,355xpp
45.0000,8.4447e+04,6.1257e+04,1.9065e+05,1.1668e+05,355xpp
52.5000,1.1273e+05,8.2751e+04,2.6967e+05,1.5742e+05,355xpp
60.0000,1.5411e+05,1.0562e+05,4.1599e+05,2.0520e+05,355xpp
67.5000,1.9853e+05,1.3910e+05,9.2022e+05,2.6144e+05,355xpp
75.0000,2.6815e+05,1.8160e+05,1.5700e+06,3.6600e+05,355xpp
82.5000,4.4057e+05,2.3390e+05,2.0259e+06,5.2630e+05,355xpp
90.0000,9.9584e+05,3.3919e+05,2.4424e+06,1.0062e+06,355xpp
97.5000,1.9547e+06,6.4303e+05,2.8526e+06,2.0396e+06,355xpp
105.0000,2.9836e+06,1.7598e+06,3.3151e+06,3.0155e+06,355xpp
112.5000,3.6842e+06,3.1817e+06,3.8636e+06,3.6941e+06,355xpp
120.0000,4.1749e+06,4.0179e+06,4.3548e+06,4.2626e+06,355xpp
127.5000,4.7970e+06,4.7160e+06,4.8666e+06,4.8130e+06,355xpp
135.0000,5.3861e+06,5.3111e+06,5.4722e+06,5.5276e+06,355xpp
142.5000,5.9391e+06,6.0053e+06,6.0155e+06,6.0494e+06,355xpp
150.0000,6.7031e+06,6.5815e+06,6.6565e+06,6.7294e+06,355xpp
157.5000,7.3097e+06,7.1894e+06,7.3878e+06,7.3852e+06,355xpp
165.0000,8.0033e+06,8.0526e+06,8.0797e+06,8.0892e+06,355xpp
172.5000,8.6730e+06,8.7291e+06,8.8267e+06,8.7652e+06,355xpp
180.0000,9.4658e+06,9.4402e+06,9.4992e+06,9.5740e+06,355xpp
187.5000,1.0186e+07,1.0169e+07,1.0261e+07,1.0255e+07,355xpp
195.0000,1.0941e+07,1.1027e+07,1.1072e+07,1.1114e+07,355xpp
202.5000,1.1713e+07,1.1796e+07,1.1802e+07,1.1929e+07,355xpp
210.0000,1.2616e+07,1.2589e+07,1.2673e+07,1.2777e+07,355xpp
217.5000,1.3403e+07,1.3448e+07,1.3509e+07,1.3680e+07,355xpp
225.0000,1.4313e+07,1.4274e+07,1.4355e+07,1.4711e+07,355xpp
232.5000,1.5093e+07,1.4912e+07,1.5168e+07,1.5394e+07,355xpp
240.0000,1.5826e+07,1.5863e+07,1.5908e+07,1.6344e+07,355xpp
247.5000,1.6856e+07,1.6564e+07,1.6819e+07,1.7113e+07,355xpp
255.0000,1.7544e+07,1.7329e+07,1.7548e+07,1.8159e+07,355xpp
262.5000,1.8540e+07,1.8150e+07,1.8514e+07,1.8897e+07,355xpp
270.0000,1.9115e+07,1.8962e+07,1.9258e+07,1.9689e+07,355xpp
277.5000,2.0282e+07,1.9757e+07,1.9929e+07,2.0699e+07,355xpp
285.0000,2.0655e+07,2.0393e+07,2.1052e+07,2.1531e+07,355xpp
292.5000,2.1442e+07,2.1318e+07,2.1480e+07,2.2517e+07,355xpp
300.0000,2.2291e+07,2.1635e+07,2.2187e+07,2.3362e+07,355xpp
307.5000,2.2934e+07,2.2530e+07,2.3041e+07,2.4228e+07,355xpp
315.0000,2.3799e+07,2.3487e+07,2.3871e+07,2.5193e+07,355xpp
322.5000,2.4380e+07,2.3687e+07,2.4368e+07,2.5783e+07,355xpp
330.0000,2.5281e+07,2.4552e+07,2.4914e+07,2.6414e+07,355xpp
337.5000,2.5700e+07,2.5190e+07,2.5675e+07,2.7439e+07,355xpp
345.0000,2.6242e+07,2.5793e+07,2.6170e+07,2.8087e+07,355xpp
352.5000,2.6943e+07,2.6244e+07,2.6872e+07,2.9050e+07,355xpp
360.0000,2.7371e+07,2.6521e+07,2.7266e+07,2.9457e+07,355xpp
367.5000,2.7622e+07,2.6885e+07,2.7527e+07,3.0369e+07,355xpp
375.0000,2.8611e+07,2.7626e+07,2.8369e+07,3.0769e+07,355xpp
382.5000,2.8846e+07,2.7963e+07,2.8830e+07,3.1862e+07,355xpp
390.0000,2.9410e+07,2.8772e+07,2.9124e+07,3.1965e+07,355xpp
397.5000,3.0160e+07,2.9052e+07,2.9710e+07,3.2759e+07,355xpp
405.0000,3.0399e+07,2.9007e+07,2.9827e+07,3.3440e+07,355xpp
412.5000,3.0860e+07,2.9656e+07,3.0579e+07,3.3476e+07,355xpp
420.0000,3.0588e+07,2.9559e+07,3.0578e+07,3.4406e+07,355xpp
427.5000,3.1208e+07,3.0095e+07,3.0799e+07,3.4180e+07,355xpp
435.0000,3.1587e+07,3.0052e+07,3.1373e+07,3.5227e+07,355xpp
442.5000,3.1762e+07,3.0666e+07,3.1778e+07,3.5606e+07,355xpp
450.0000,3.2025e+07,3.0810e+07,3.1769e+07,3.5838e+07,355xpp
457.5000,3.2487e+07,3.1345e+07,3.2220e+07,3.6042e+07,355xpp
465.0000,3.2250e+07,3.1190e+07,3.2806e+07,3.6618e+07,355xpp
472.5000,3.2991e+07,3.1223e+07,3.2285e+07,3.7148e+07,355xpp
480.0000,3.3158e+07,3.1531e+07,3.2556e+07,3.7342e+07,355xpp
487.5000,3.3684e+07,3.1943e+07,3.2992e+07,3.7574e+07,355xpp
495.0000,3.3398e+07,3.1641e+07,3.3371e+07,3.7845e+07,355xpp
502.5000,3.3626e+07,3.1870e+07,3.3231e+07,3.7783e+07,355xpp
