station ID = gr (Granada)
system = VELETA
signal = 355, perpendicular, analog, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
7.5000,1.1920e-01,2.7262e-01,1.2574e-01,1.6938e-01,355xsa
15.0000,9.8000e-01,9.3797e-01,1.0139e+00,3.3439e-01,355xsa
22.5000,4.1093e+00,1.4584e+00,1.2861e+00,4.4364e-01,355xsa
30.0000,2.3340e+00,1.0067e+00,8.2245e-01,4.5707e+00,355xsa
37.5000,1.8515e+01,1.7395e+01,2.0538e+01,2.1391e+01,355xsa
45.0000,-1.5061e+01,-8.3712e+00,-6.1784e+00,-7.0095e+00,355xsa
52.5000,8.9179e+02,8.3897e+02,2.3069e+03,1.0176e+03,355xsa
60.0000,4.3832e+03,3.1533e+03,1.7804e+04,4.2879e+03,355xsa
67.5000,1.2079e+04,5.8028e+03,3.3240e+04,8.5476e+03,355xsa
75.0000,1.7767e+04,1.2788e+04,3.0480e+04,1.3545e+04,355xsa
82.5000,1.7965e+04,1.4609e+04,3.0968e+04,1.4700e+04,355xsa
90.0000,1.6876e+04,1.3957e+04,2.8265e+04,1.3630e+04,355xsa
97.5000,2.1237e+04,1.8400e+04,3.3337e+04,1.8507e+04,355xsa
105.0000,2.2988e+04,1.9621e+04,3.5795e+04,2.0147e+04,355xsa
112.5000,2.4888e+04,2.0934e+04,3.8396e+04,2.1230e+04,355xsa
120.0000,2.7457e+04,2.3766e+04,4.6860e+04,2.4602e+04,355xsa
127.5000,2.6772e+04,2.2771e+04,8.4745e+04,2.4308e+04,355xsa
135.0000,3.1694e+04,2.5044e+04,2.4668e+05,2.7873e+04,355xsa
142.5000,4.5159e+04,3.1977e+04,5.4535e+05,3.5994e+04,355xsa
150.0000,8.0807e+04,3.9047e+04,9.0638e+05,4.8966e+04,355xsa
157.5000,1.8498e+05,5.9218e+04,1.2375e+06,9.4083e+04,355xsa
165.0000,4.1128e+05,1.3686e+05,1.4774e+06,1.8838e+05,355xsa
172.5000,8.4649e+05,3.7658e+05,1.6241e+06,3.8261e+05,355xsa
180.0000,1.3034e+06,8.1360e+05,1.7397e+06,7.4467e+05,355xsa
187.5000,1.6230e+06,1.3383e+06,1.8325e+06,1.2026e+06,355xsa
195.0000,1.8551e+06,1.7787e+06,1.8845e+06,1.5497e+06,355xsa
202.5000,2.0369e+06,2.0944e+06,1.9339e+06,1.7693e+06,355xsa
210.0000,2.1855e+06,2.3447e+06,1.9697e+06,1.9419e+06,355xsa
217.5000,2.2973e+06,2.5613e+06,1.9856e+06,2.0851e+06,355xsa
225.0000,2.3910e+06,2.7266e+06,1.9923e+06,2.2192e+06,355xsa
232.5000,2.4723e+06,2.8579e+06,1.9736e+06,2.3064e+06,355xsa
240.0000,2.5276e+06,2.9335e+06,1.9497e+06,2.3844e+06,355xsa
247.5000,2.5587e+06,2.9463e+06,1.9270e+06,2.4426e+06,355xsa
255.0000,2.5585e+06,2.9378e+06,1.8920e+06,2.4649e+06,355xsa
262.5000,2.5468e+06,2.8966e+06,1.8522e+06,2.4604e+06,355xsa
270.0000,2.5267e+06,2.8530e+06,1.8174e+06,2.4316e+06,355xsa
277.5000,2.5165e+06,2.8176e+06,1.7879e+06,2.3904e+06,355xsa
285.0000,2.4922e+06,2.7827e+06,1.7601e+06,2.3501e+06,355xsa
292.5000,2.4592e+06,2.7494e+06,1.7367e+06,2.3127e+06,355xsa
300.0000,2.4275e+06,2.7092e+06,1.7204e+06,2.2827e+06,355xsa
307.5000,2.3970e+06,2.6921e+06,1.7044e+06,2.2478e+06,355xsa
315.0000,2.3678e+06,2.6494e+06,1.6731e+06,2.2032e+06,355xsa
322.5000,2.3324e+06,2.6125e+06,1.6459e+06,2.1892e+06,355xsa
330.0000,2.3213e+06,2.5802e+06,1.6257e+06,2.1536e+06,355xsa
337.5000,2.2768e+06,2.5660e+06,1.6103e+06,2.1251e+06,355xsa
345.0000,2.2662e+06,2.5396e+06,1.5915e+06,2.1123e+06,355xsa
352.5000,2.2501e+06,2.5156e+06,1.5764e+06,2.0739e+06,355xsa
360.0000,2.2253e+06,2.4822e+06,1.5647e+06,2.0496e+06,355xsa
367.5000,2.2082e+06,2.4677e+06,1.5612e+06,2.0281e+06,355xsa
375.0000,2.2086e+06,2.4447e+06,1.5450e+06,2.0169e+06,355xsa
382.5000,2.1880e+06,2.4130e+06,1.5363e+06,2.0022e+06,355xsa
390.0000,2.1437e+06,2.3939e+06,1.5173e+06,1.9825e+06,355xsa
397.5000,2.1403e+06,2.3746e+06,1.4950e+06,1.9730e+06,355xsa
405.0000,2.1216e+06,2.3602e+06,1.4830e+06,1.9569e+06,355xsa
412.5000,2.1109e+06,2.3448e+06,1.4780e+06,1.9225e+06,355xsa
420.0000,2.1067e+06,2.3282e+06,1.4753e+06,1.9181e+06,355xsa
427.5000,2.0843e+06,2.3204e+06,1.4697e+06,1.8950e+06,355xsa
435.0000,2.0746e+06,2.3049e+06,1.4511e+06,1.8985e+06,355xsa
442.5000,2.0481e+06,2.2854e+06,1.4540e+06,1.8726e+06,355xsa
450.0000,2.0443e+06,2.2532e+06,1.4325e+06,1.8403e+06,355xsa
457.5000,2.0197e+06,2.2449e+06,1.4291e+06,1.8399e+06,355xsa
465.0000,2.0144e+06,2.2535e+06,1.4177e+06,1.8235e+06,355xsa
472.5000,2.0247e+06,2.2495e+06,1.4147e+06,1.8168e+06,355xsa
480.0000,2.0147e+06,2.2258e+06,1.4016e+06,1.7935e+06,355xsa
487.5000,1.9883e+06,2.2196e+06,1.4050e+06,1.7915e+06,355xsa
495.0000,1.9783e+06,2.1875e+06,1.3784e+06,1.7822e+06,355xsa
502.5000,1.9772e+06,2.1943e+06,1.3770e+06,1.7729e+06,355xsa
510.0000,1.9803e+06,2.1841e+06,1.3746e+06,1.7597e+06,355xsa
517.5000,1.9511e+06,2.1801e+06,1.3617e+06,1.7478e+06,355xsa
525.0000,1.9395e+06,2.1404e+06,1.3618e+06,1.7258e+06,355xsa
532.5000,1.9454e+06,2.1304e+06,1.3553e+06,1.7336e+06,355xsa
540.0000,1.9326e+06,2.1318e+06,1.3580e+06,1.7418e+06,355xsa
547.5000,1.9248e+06,2.1277e+06,1.3502e+06,1.7144e+06,355xsa
555.0000,1.9058e+06,2.1087e+06,1.3431e+06,1.7009e+06,355xsa
562.5000,1.9123e+06,2.1022e+06,1.3156e+06,1.6915e+06,355xsa
570.0000,1.8994e+06,2.1112e+06,1.3301e+06,1.7046e+06,355xsa
577.5000,1.8926e+06,2.0953e+06,1.3068e+06,1.6802e+06,355xsa
585.0000,1.8688e+06,2.0910e+06,1.3155e+06,1.6434e+06,355xsa
592.5000,1.8815e+06,2.0755e+06,1.3244e+06,1.6556e+06,355xsa
600.0000,1.8562e+06,2.0904e+06,1.3011e+06,1.6583e+06,355xsa
607.5000,1.8632e+06,2.0407e+06,1.3021e+06,1.6412e+06,355xsa
615.0000,1.8641e+06,2.0242e+06,1.2945e+06,1.6387e+06,355xsa
622.5000,1.8324e+06,2.0413e+06,1.2772e+06,1.6225e+06,355xsa
630.0000,1.8271e+06,2.0580e+06,1.2916e+06,1.6269e+06,355xsa
637.5000,1.8013e+06,2.0073e+06,1.2935e+06,1.6109e+06,355xsa
645.0000,1.8035e+06,2.0126e+06,1.2763e+06,1.6174e+06,355xsa
652.5000,1.8135e+06,2.0064e+06,1.2521e+06,1.6136e+06,355xsa
660.0000,1.7943e+06,1.9960e+06,1.2481e+06,1.6083e+06,355xsa
667.5000,1.8082e+06,2.0165e+06,1.2287e+06,1.6032e+06,355xsa
675.0000,1.7998e+06,1.9806e+06,1.2426e+06,1.5756e+06,355xsa
682.5000,1.7700e+06,1.9830e+06,1.2337e+06,1.5918e+06,355xsa
690.0000,1.7665e+06,1.9930e+06,1.2164e+06,1.5740e+06,355xsa
697.5000,1.7721e+06,1.9668e+06,1.2165e+06,1.5681e+06,355xsa
705.0000,1.7527e+06,1.9567e+06,1.2121e+06,1.5553e+06,355xsa
712.5000,1.7569e+06,1.9534e+06,1.2196e+06,1.5320e+06,355xsa
720.0000,1.7494e+06,1.9280e+06,1.1956e+06,1.5439e+06,355xsa
727.5000,1.7389e+06,1.9400e+06,1.1883e+06,1.5405e+06,355xsa
735.0000,1.7107e+06,1.9085e+06,1.2000e+06,1.5398e+06,355xsa
742.5000,1.7178e+06,1.8848e+06,1.1959e+06,1.5302e+06,355xsa
750.0000,1.6940e+06,1.8808e+06,1.1721e+06,1.5050e+06,355xsa
757.5000,1.6923e+06,1.8913e+06,1.1810e+06,1.5079e+06,355xsa
765.0000,1.7095e+06,1.9005e+06,1.1668e+06,1.4813e+06,355xsa
772.5000,1.6865e+06,1.8965e+06,1.1602e+06,1.4575e+06,355xsa
780.0000,1.7150e+06,1.8624e+06,1.1608e+06,1.4852e+06,355xsa
787.5000,1.6869e+06,1.8594e+06,1.1746e+06,1.4857e+06,355xsa
795.0000,1.6829e+06,1.8696e+06,1.1613e+06,1.4480e+06,355xsa
802.5000,1.6513e+06,1.8729e+06,1.1522e+06,1.4396e+06,355xsa
810.0000,1.6419e+06,1.8486e+06,1.1655e+06,1.4479e+06,355xsa
817.5000,1.6387e+06,1.8442e+06,1.1512e+06,1.4344e+06,355xsa
825.0000,1.6389e+06,1.8455e+06,1.1356e+06,1.4403e+06,355xsa
832.5000,1.6419e+06,1.8165e+06,1.1322e+06,1.4242e+06,355xsa
840.0000,1.6319e+06,1.8287e+06,1.1472e+06,1.4378e+06,355xsa
847.5000,1.6169e+06,1.8227e+06,1.1206e+06,1.4542e+06,355xsa
855.0000,1.6334e+06,1.8168e+06,1.1254e+06,1.4558e+06,355xsa
862.5000,1.6174e+06,1.8083e+06,1.1297e+06,1.4344e+06,355xsa
870.0000,1.5996e+06,1.8137e+06,1.1079e+06,1.4290e+06,355xsa
877.5000,1.6008e+06,1.8039e+06,1.1355e+06,1.4423e+06,355xsa
885.0000,1.5880e+06,1.7955e+06,1.1081e+06,1.4096e+06,355xsa
892.5000,1.5782e+06,1.7949e+06,1.1173e+06,1.4323e+06,355xsa
900.0000,1.5983e+06,1.7667e+06,1.1383e+06,1.4036e+06,355xsa
907.5000,1.5796e+06,1.7608e+06,1.0851e+06,1.4127e+06,355xsa
915.0000,1.5775e+06,1.7737e+06,1.0952e+06,1.4183e+06,355xsa
922.5000,1.5610e+06,1.7646e+06,1.1151e+06,1.4102e+06,355xsa
930.0000,1.5570e+06,1.7695e+06,1.1000e+06,1.3936e+06,355xsa
937.5000,1.5728e+06,1.7636e+06,1.0987e+06,1.3628e+06,355xsa
945.0000,1.5368e+06,1.7341e+06,1.0777e+06,1.3539e+06,355xsa
952.5000,1.5723e+06,1.7403e+06,1.1033e+06,1.3809e+06,355xsa
960.0000,1.5575e+06,1.7543e+06,1.0860e+06,1.3607e+06,355xsa
967.5000,1.5471e+06,1.7417e+06,1.0806e+06,1.3375e+06,355xsa
975.0000,1.5098e+06,1.7557e+06,1.0612e+06,1.3766e+06,355xsa
982.5000,1.5066e+06,1.7174e+06,1.0619e+06,1.3882e+06,355xsa
990.0000,1.5374e+06,1.7278e+06,1.0655e+06,1.3686e+06,355xsa
997.5000,1.5362e+06,1.7112e+06,1.0639e+06,1.3650e+06,355xsa
1005.0000,1.5263e+06,1.6746e+06,1.0855e+06,1.3531e+06,355xsa
1012.5000,1.5345e+06,1.6964e+06,1.0554e+06,1.3456e+06,355xsa
1020.0000,1.5211e+06,1.6696e+06,1.0821e+06,1.3167e+06,355xsa
1027.5000,1.5257e+06,1.6500e+06,1.0546e+06,1.3226e+06,355xsa
1035.0000,1.4899e+06,1.7100e+06,1.0456e+06,1.3042e+06,355xsa
1042.5000,1.5079e+06,1.6539e+06,1.0530e+06,1.3186e+06,355xsa
