station ID = gr (Granada)
system = VELETA
signal = 355, perpendicular, photoncounting, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
7.5000,5.3088e+03,3.4971e+03,9.8649e+03,4.6611e+03,355xsp
15.0000,2.0953e+04,1.6379e+04,3.4168e+04,1.8896e+04,355xsp
22.5000,4.0992e+04,3.5306e+04,6.5782e+04,3.8014e+04,355xsp
30.0000,6.4136e+04,5.6373e+04,1.0502e+05,6.0954e+04,355xsp
37.5000,9.0983e+04,7.9014e+04,1.5012e+05,8.8152e+04,355xsp
45.0000,1.2449e+05,1.0630e+05,2.0168e+05,1.1977e+05,355xsp
52.5000,1.6190e+05,1.3883e+05,2.7642e+05,1.5811e+05,355xsp
60.0000,2.0527e+05,1.7995e+05,4.2180e+05,2.0538e+05,355xsp
67.5000,2.6131e+05,2.2070e+05,9.7153e+05,2.6483e+05,355xsp
75.0000,3.4675e+05,2.7406e+05,1.6500e+06,3.3688e+05,355xsp
82.5000,5.4945e+05,3.6106e+05,2.0643e+06,4.5454e+05,355xsp
90.0000,1.1312e+06,4.8723e+05,2.4740e+06,7.7493e+05,355xsp
97.5000,2.0849e+06,8.7857e+05,2.8517e+06,1.4850e+06,355xsp
105.0000,3.1689e+06,2.0855e+06,3.3247e+06,2.5256e+06,355xsp
112.5000,3.8062e+06,3.5135e+06,3.7721e+06,3.6206e+06,355xsp
120.0000,4.2943e+06,4.2713e+06,4.3386e+06,4.3160e+06,355xsp
127.5000,4.8823e+06,4.8390e+06,4.8437e+06,4.8858e+06,355xsp
135.0000,5.3979e+06,5.4413e+06,5.4769e+06,5.4967e+06,355xsp
142.5000,6.0069e+06,5.9676e+06,6.0059e+06,6.1226e+06,355xsp
150.0000,6.6723e+06,6.6849e+06,6.7646e+06,6.7738e+06,355xsp
157.5000,7.3278e+06,7.3949e+06,7.4404e+06,7.4659e+06,355xsp
165.0000,8.1050e+06,8.0882e+06,8.1706e+06,8.0558e+06,355xsp
172.5000,8.8054e+06,8.7875e+06,8.9045e+06,8.9155e+06,355xsp
180.0000,9.5575e+06,9.5918e+06,9.6836e+06,9.6446e+06,355xsp
187.5000,1.0339e+07,1.0406e+07,1.0444e+07,1.0457e+07,355xsp
195.0000,1.1361e+07,1.1300e+07,1.1184e+07,1.1460e+07,355xsp
202.5000,1.2035e+07,1.2115e+07,1.2005e+07,1.2196e+07,355xsp
210.0000,1.2904e+07,1.2981e+07,1.2770e+07,1.3076e+07,355xsp
217.5000,1.4030e+07,1.3911e+07,1.3549e+07,1.3907e+07,355xsp
225.0000,1.4747e+07,1.5039e+07,1.4430e+07,1.4969e+07,355xsp
232.5000,1.5830e+07,1.5848e+07,1.5123e+07,1.5985e+07,355xsp
240.0000,1.6791e+07,1.6656e+07,1.6078e+07,1.6769e+07,355xsp
247.5000,1.7600e+07,1.7950e+07,1.6981e+07,1.7630e+07,355xsp
255.0000,1.8349e+07,1.8817e+07,1.7746e+07,1.8643e+07,355xsp
