station ID = gr (Granada)
system = VELETA
signal = 387, total, analog, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
7.5000,-2.2869e-05,-1.0958e-05,-2.4298e-05,-2.8586e-05,387xta
15.0000,-9.1476e-05,-4.3832e-05,-9.7193e-05,-1.1434e-04,387xta
22.5000,8.5574e-02,-9.8623e-05,-2.1868e-04,-2.5728e-04,387xta
30.0000,-3.6590e-04,-1.7533e-04,-3.8877e-04,-4.5738e-04,387xta
37.5000,-5.7172e-04,-2.7395e-04,-6.0746e-04,-7.1466e-04,387xta
45.0000,-8.2328e-04,-3.9449e-04,-8.7474e-04,-1.0291e-03,387xta
52.5000,-1.1206e-03,-5.3694e-04,-1.1906e-03,-1.4007e-03,387xta
60.0000,-1.4636e-03,-7.0132e-04,-1.5551e-03,-1.8295e-03,387xta
67.5000,-1.8524e-03,-8.8760e-04,-1.9682e-03,-2.3155e-03,387xta
75.0000,-2.2869e-03,-1.0958e-03,-2.4298e-03,-2.8586e-03,387xta
82.5000,-2.7671e-03,-1.3259e-03,-2.9401e-03,-3.4589e-03,387xta
90.0000,-3.2931e-03,-1.5780e-03,-3.4990e-03,-4.1164e-03,387xta
97.5000,-3.8649e-03,-1.8519e-03,-4.1064e-03,-4.8311e-03,387xta
105.0000,-4.4823e-03,-2.1478e-03,-4.7625e-03,-5.6029e-03,387xta
112.5000,-5.1455e-03,-2.4656e-03,-5.4671e-03,-6.4319e-03,387xta
120.0000,-5.8545e-03,-2.8053e-03,-6.2204e-03,-7.3181e-03,387xta
127.5000,-6.6091e-03,-3.1669e-03,-7.0222e-03,-8.2614e-03,387xta
135.0000,-7.4096e-03,-3.5504e-03,-7.8727e-03,-9.2619e-03,387xta
142.5000,-8.2557e-03,-3.9559e-03,-8.7717e-03,-1.0320e-02,387xta
150.0000,-9.1476e-03,-4.3832e-03,-9.7193e-03,-1.1434e-02,387xta
157.5000,-1.0085e-02,-4.8325e-03,-1.0716e-02,-1.2607e-02,387xta
165.0000,-1.1069e-02,-5.3037e-03,-1.1760e-02,-1.3836e-02,387xta
172.5000,-1.2098e-02,-5.7968e-03,-1.2854e-02,-1.5122e-02,387xta
180.0000,-1.3173e-02,-6.3118e-03,-1.3996e-02,-1.6466e-02,387xta
187.5000,-1.4293e-02,-6.8488e-03,-1.5186e-02,-1.7866e-02,387xta
195.0000,-1.5459e-02,-7.4076e-03,-1.6426e-02,-1.9324e-02,387xta
202.5000,-1.6671e-02,-7.9884e-03,-1.7713e-02,-2.0839e-02,387xta
210.0000,-1.7929e-02,-8.5911e-03,-1.9050e-02,-2.2412e-02,387xta
217.5000,-1.9233e-02,-9.2157e-03,-2.0435e-02,-2.4041e-02,387xta
225.0000,-2.0582e-02,-9.8623e-03,-2.1868e-02,-2.5728e-02,387xta
232.5000,-2.1977e-02,-1.0531e-02,-2.3351e-02,-2.7471e-02,387xta
240.0000,-2.3418e-02,-1.1221e-02,-2.4881e-02,-2.9272e-02,387xta
247.5000,-2.4904e-02,-1.1933e-02,-2.6461e-02,-3.1130e-02,387xta
255.0000,-2.6437e-02,-1.2668e-02,-2.8089e-02,-3.3046e-02,387xta
262.5000,-2.8015e-02,-1.3424e-02,-2.9765e-02,-3.5018e-02,387xta
270.0000,-2.9638e-02,-1.4202e-02,-3.1491e-02,-3.7048e-02,387xta
