station ID = gr (Granada)
system = VELETA
signal = 387, total, photoncounting, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
7.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
15.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
22.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
30.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
37.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
45.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
52.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
60.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
67.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
75.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
82.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
90.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
97.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
105.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
112.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
120.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
127.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
135.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
142.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
150.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
157.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
165.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
172.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
180.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
187.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
195.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
202.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
210.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
217.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
225.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
232.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
240.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
247.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
255.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
262.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
270.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
277.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
285.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
292.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
300.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
307.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
315.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
322.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
330.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
337.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
345.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
352.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
360.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
367.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
375.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
382.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
390.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
397.5000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
405.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,387xtp
